Card#,Artist,Title,Album,URL
108,Righeira,Vamos a la Playa - 1983,Best of Righeira (Le meilleur des annees 80),spotify://track:3iB7lzsBC7PdJLU9k2nttT
109,Los Del Rio,Macarena,Hits Of The 90s,spotify://track:6mhw2fEPH4fMF0wolNm96e
110,"Nancy Sinatra, Lee Hazlewood",Summer Wine,Nancy & Lee,spotify://track:2JKRZGp4LwT9GGbcXtx2sw
111,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,spotify://track:3gdewACMIVMEWVbyb8O9sY
112,Dua Lipa,Dance The Night,Barbie The Album,spotify://track:11C4y2Yz1XbHmaQwO06s9f
113,Capital Bra,One Night Stand,Berlin lebt,spotify://track:4i2DmyVwf29lEdmLGNTyGM
114,Bobby Hebb,Sunny,Sunny,spotify://track:4vju55Ag7apDL2CfotuE7Q
115,Pietro Lombardi,Ti Amo,Ti Amo,spotify://track:2vlXmglKhzSlV5XJgPzjnx
116,Norman Greenbaum,Spirit In The Sky - Deluxe Edition,Spirit In The Sky (Deluxe Edition),spotify://track:0jvN7eQJJt4nxQzgQfZ1SP
117,"Cassandra Steen, Adel Tawil",Stadt,Darum leben wir,spotify://track:6nE5RgNaFN5E5bpXeH2z9M
118,"Marteria, Miss Platnum, Yasha",Lila Wolken,Lila Wolken - EP,spotify://track:0c6EzAElZrC62yj80FLmpP
119,Rod Stewart,Sailing,Atlantic Crossing,spotify://track:6OuRbvP4PgbuzBIapVzmFJ
120,Juliane Werding,Am Tag als Conny Kramer starb,Die großen Erfolge,spotify://track:7kTHUVnGMMOHW1CLdgvzui
121,"J Balvin, Willy William",Mi Gente,Mi Gente,spotify://track:03aENfSuuy3VS0sbgH7u1D
122,"Asaf Avidan, The Mojos, Wankelmut",One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],One Day / Reckoning Song (Wankelmut Remix),spotify://track:68rcszAg5pbVaXVvR7LFNh
123,Donna Summer,I Feel Love,On The Radio: Greatest Hits Volumes I & II,spotify://track:3x0wa95iAU1ZMmf3yAQkjZ
124,Calvin Harris,Summer,Motion,spotify://track:6YUTL4dYpB9xZO5qExPf05
125,Peter Maffay,Du,"Für das Mädchen, das ich liebe",spotify://track:6fFshpRdAV1MHSpzXP3Yyk
126,SNAP!,Rhythm Is A Dancer,The Madman's Return,spotify://track:5uFYYOyT3EclOVhiFzPJSz
127,Banaroo,Dubi Dam Dam - Radio Edit,Banaroo's World,spotify://track:6FRw4Ed7mA8b1bVbWVL3yI
128,Bee Gees,Night Fever - From "Saturday Night Fever" Soundtrack,How Can You Mend A Broken Heart,spotify://track:0qemIQjSxcKyf42VPfZnfa
129,"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris),New Year's Eve - NYE 2018/2019,spotify://track:0utLWSIbolqT7KyppMuxKY
130,Mariah Carey,Without You,Music Box,spotify://track:0pkIJFV6mviH9dmBYsFwTM
131,"Gianna Nannini, Edoardo Bennato",Un'Estate Italiana (Notti Magiche) - Stadio Version,Un'Estate Italiana (Notti Magiche),spotify://track:50jCUPNEHtmLfK6PQzcnOH
132,Cascada,Evacuate the Dancefloor,Back On the Dancefloor,spotify://track:4Zfq7r0v4FKeoxwhyLYSyb
133,Ne-Yo,Closer,Year Of The Gentleman,spotify://track:0GX5oOKtU0nnx5OkhenW2i
134,The Outhere Brothers,Boom Boom Boom - Don't Break My Balls Mix,1 Polish 2 Biscuits & a Fish Sandwich,spotify://track:1m3YR95r3ZuLtu66T8l4Ab
135,Ricky Martin,"The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98][English]",The Greatest Hits,spotify://track:7aUCLXZ4D4UD5sCgIgxqjl
136,"Sarah Connor, TQ",Let's Get Back To Bed - Boy!,Green Eyed Soul,spotify://track:0EbWhshcHu8Y0NkdgABv3d
137,Alannah Myles,Black Velvet,Alannah Myles,spotify://track:1KU5EHSz04JhGg3rReGJ0N
138,"Michael Schulte, R3HAB",Waterfall,Waterfall,spotify://track:7aJgh6LCvhXJfD7PHjhG70
139,Loona,Bailando,Stars,spotify://track:0oxOXYVVZ7vDknU6kagLwO
140,SNAP!,The Power,World Power,spotify://track:0gRhXiFgrIz8OfSW4up1k1
141,"Snoop Dogg, Pharrell Williams",Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,spotify://track:2NBQmPrOEEjA8VbeWOQGxO
142,"Bob Sinclar, Gary Pine",Love Generation - Radio Edit,La Saga Des Hits,spotify://track:7iee007QypdrTXbLVF5KuF
143,Sean Paul,Get Busy,Dutty Rock (20th Anniversary),spotify://track:6bK9BH9Ts8Gj5JFvnQkzak
144,The Beach Boys,Barbara Ann,Spirit Of America,spotify://track:2KOt2JrCB720UxIbyzweQo
145,K.Maro,Femme Like U,La Good Life,spotify://track:4iVnfuAmwJNAGsiHz8Po6Y
146,Mireille Mathieu,Akropolis Adieu,"Die Welt ist schön, Milord",spotify://track:5mmuzYKRWwpgsUNxhMg2ZW
