Card#,Artist,Title,Album,URL
40,BTS,Dynamite,BE,spotify://track:5QDLhrAOJJdNAmCTJ8xMyW
41,The Cardigans,Lovefool,First Band On The Moon (Remastered),spotify://track:7aQjPecQdIuNd1sz3KCDhD
42,Robin S,Show Me Love,Show Me Love,spotify://track:4t0UsYzmmmZRMTWn77jiGF
43,Europe,The Final Countdown,The Final Countdown (Expanded Edition),spotify://track:3MrRksHupTVEQ7YbA0FsZK
44,"Christina Aguilera, Lil' Kim, Mýa, P!nk",Lady Marmalade - From "Moulin Rouge" Soundtrack,Moulin Rouge,spotify://track:7GbqE3MlkKosIaCvf50JRK
45,KC & The Sunshine Band,That's the Way (I Like It),The TK Years,spotify://track:7s3FSodLpnKMzeMj17G5d0
46,MIKA,Big Girl (You Are Beautiful),Life In Cartoon Motion,spotify://track:2sY0M3k69oAYz7EOPVRFjo
47,Hepie & Hepie,Ik Lig Op Mn Kussen Stil Te Dromen,Ik Lig Op M'n Kussen Stil Te Dromen,spotify://track:7A4vhRvdEycfbOlLo1aqWF
48,"A Touch Of Class, Pete Konemann",Around the World (La La La La La) - Radio Version,Planet Pop,spotify://track:7CvOnbFdnIoXMQ4eFCo5lB
49,Inner Circle,Sweat (A La La La La Long),Blazzin' Fire,spotify://track:24Si0Kw3pu2RxX1jrbBg5A
50,Gerard Joling,Maak Me Gek,Maak Me Gek,spotify://track:2NRM0hWzeQkkiY2qMKBkPg
51,Elvis Presley,It's Now or Never,Elvis 30 #1 Hits,spotify://track:1XunTmhOcj3xwh4b8P3isX
52,"Opgeblazen, Wilbert Pigmans",De Toreador,De Toreador,spotify://track:0NKBmPjar0pPKi9sGMNS0b
53,"Gers Pardoel, Sef",Bagagedrager,Deze Wereld Is Van Jou,spotify://track:3v0ouAltce6AySBTYBP3pk
54,Wham!,Club Tropicana,Fantastic,spotify://track:6tASfEUyB7lE2r6DLzURji
55,BZN,Mon amour,Favorieten Expres,spotify://track:4dgNP0B2Y9lQdwljwXoSuR
56,Gnarls Barkley,Crazy,St. Elsewhere,spotify://track:1vxw6aYJls2oq3gW0DujAo
57,Boyzone,Picture Of You,A Different Beat,spotify://track:2AlVWg58iy4Cx6KqD0XYu2
58,"Major Lazer, Busy Signal, The Flexican, FS Green",Watch Out For This (Bumaye),Free the Universe,spotify://track:5StvAhgmgCOpCPHHNfS8bx
59,Ricky Martin,Livin' la Vida Loca,Ricky Martin,spotify://track:0Ph6L4l8dYUuXFmb71Ajnd
60,"Kraantje Pappie, MC Jiggy Djé",Feesttent,Crane II,spotify://track:3jFnYU30fibZbOE9y4wPQx
61,The Knack,My Sharona,Get The Knack,spotify://track:1HOMkjp0nHMaTnfAkslCQj
62,"Liesbeth List, The Animal Crackers",Kinderen Een Kwartje,Foto,spotify://track:29S54n73pnomKy86i2OJhw
63,Murray Head,One Night in Bangkok,Emotions (My Favourite Songs),spotify://track:6erBowZaW6Ur3vNOWhS2zM
64,Billy Joel,Uptown Girl,An Innocent Man,spotify://track:5zA8vzDGqPl2AzZkEYQGKh
65,Jayh,Mooie Dag,Mooie Dag,spotify://track:14ZZR92YmYIIVhOi6h0MOg
66,"Don Omar, Lucenzo",Danza Kuduro,Meet The Orphans,spotify://track:6DXLO8LndZMVOHM0wNbpzg
67,Kylie Minogue,Can't Get You out of My Head,Fever,spotify://track:3E7ZwUMJFqpsDOJzEkBrQ7
68,Urban Cookie Collective,"The Key, The Secret",The Very Best Of,spotify://track:0Lg4ckCFjFUeyHOeSozcWS
69,Alcazar,Crying at the Discoteque - Radio Edit,Casino,spotify://track:7gQAFGUyHPcY0cQNPsjMf0
70,a-ha,Take on Me,Hunting High and Low,spotify://track:2WfaOiMkCvy7F5fcp2zZ8L
71,"Lawineboys, DJ Jerome",Sex Met Die Kale,10 Jaar Lawinegevaar,spotify://track:31DSKNhOyK88M3yRVANJfz
72,Zanger Rinus,Met Romana op de scooter,Met Romana op de scooter,spotify://track:1Ki2y0BRL1TbKeUujtGSeP
73,Madonna,Like a Virgin,Like a Virgin,spotify://track:1ZPlNanZsJSPK5h9YZZFbZ
74,Bob Dylan,Mr. Tambourine Man,Bringing It All Back Home,spotify://track:3RkQ3UwOyPqpIiIvGVewuU
75,Salt-N-Pepa,Push It,"Hot, Cool & Vicious",spotify://track:6sT9MWlJManry3EQwf4V80
76,Cliff Richard,Living Doll,Living Doll - The Collection,spotify://track:2ZeXa3QeVTYy12GbqgAVj1
77,"Daddy Yankee, Snow",Con Calma,Con Calma,spotify://track:5w9c2J52mkdntKOmRLeM2m
78,Peter De Koning,Het Is Altijd Lente in De Ogen Van De Tandartsassistente,Het Is Altijd Lente in De Ogen Van De Tandartsassistente,spotify://track:281MUFQzVh0I24vOsCBIDz
79,Rockwell,Somebody Is Watching Me,Somebody Is Watchin' Me,spotify://track:1fP4i0PcURseJwS392c2fU
80,Katrina & The Waves,Walking On Sunshine,Katrina & The Waves,spotify://track:05wIrZSwuaVWhcv5FfqeH0
81,Herman,Opzij,Veen van 20 Jaar Herman Van Veen - In Vogelvlucht,spotify://track:0yWRS2BuPtCuZroFIhTc3C
82,September,Cry for You,Dancing Shoes,spotify://track:1mvZErZBp7WZT3HfGBykao
83,Ben E. King,Stand By Me,The Very Best of Ben E. King,spotify://track:6OzAkuRDmEpd52RF1g1WvU
84,"Double Trouble, Rebel MC",Street Tuff,Street Tuff,spotify://track:23Qr9weVHGDOiSWZM9UQG1
85,Polo & Pan,Mexicali,Caravelle,spotify://track:4P6JIuXfMMW8kjJCEneMBF
86,"Lady Gaga, Colby O'Donis",Just Dance,The Fame,spotify://track:1dzQoRqT5ucxXVaAhTcT0J
87,Robbie Williams,Angels,Life Thru A Lens,spotify://track:1M2nd8jNUkkwrc1dgBPTJz
88,"Stef Ekkel, Rene Karst",Liever Te Dik In De Kist,Atje Voor De Sfeer - En Andere Sfeermakers,spotify://track:2rKFSvEBn6lPmkrCKeXUQq
89,Rob De Nijs,Banger Hart,"De Band, De Zanger En Het Meisje (Expanded Edition)",spotify://track:2z5SRhPD2NHotguZ6xL5ad
90,The Ronettes,Be My Baby,Be My Baby: The Very Best of The Ronettes,spotify://track:2G2YzndIA6jeWFPBXhUjh5
91,Jan Hammer,Crockett's Theme,Escape From Television,spotify://track:3TnJ7M6in8Pb5EyGBUK02Y
92,Carl Douglas,Kung Fu Fighting,Kung Fu Fighter,spotify://track:7K8QsHbmUpSX37oOCL4e2g
93,Paco,Amor de Mis Amores - La Foule - Original Version 1988,Best of Paco Collector (Le meilleur des années 80),spotify://track:6xkaVtvegRyMcxsW0gcWQW
94,Gloria Gaynor,I Will Survive,Love Tracks,spotify://track:7rIovIsXE6kMn629b7kDig
95,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),Bat Out Of Hell II: Back Into Hell...,spotify://track:4UrgDocbHywDZv2f3mBhCq
96,Jody Bernal,"Que Si, Que No - Original Radio Mix / Bonus Track","Que Si, Que No (Expanded Edition)",spotify://track:2P5wf1GZ5vRfPoWfDF39rB
97,Party Animals,Have You Ever Been Mellow,Happy Hardcore Top 100 (Best Ever),spotify://track:7rlwYvOrFC8sEPl3lA9LyL
98,"Eva Simons, Konshens",Policeman,Policeman,spotify://track:5dv1k1EENIPfsmGoHOrMPc
99,Backstreet Boys,I Want It That Way,Millennium,spotify://track:47BBI51FKFwOMlIiX6m8ya
100,Stevie Wonder,Sir Duke,Songs In The Key Of Life,spotify://track:4pNiE4LCVV74vfIBaUHm1b
101,"David Guetta, Kelly Rowland",When Love Takes Over (feat. Kelly Rowland),One More Love,spotify://track:0GWGZA5mxo9nHuSyrj70uo
102,Fine Young Cannibals,She Drives Me Crazy,The Raw & The Cooked,spotify://track:4d6eqRtpDX7tydHJGDZUBQ
103,De Jeugd Van Tegenwoordig,Watskeburt?!,Parels Voor De Zwijnen,spotify://track:2Oaq2Q6JFS1xIXGL9TVryY
104,Seal,Kiss from a Rose,Seal,spotify://track:3YKptz29AsOlm7WAVnztBh
105,Petula Clark,Downtown,The Ultimate Petula Clark,spotify://track:6S55C80YzjhSrCRRd1p80b
106,"Jermaine Jackson, Pia Zadora",When the Rain Begins to Fall,Jermaine Jackson (Expanded Edition),spotify://track:4BNgHaHriMcnpeR7qdkojU
107,"Eiffel 65, Gabry Ponte",Blue (Da Ba Dee) - Gabry Ponte Video Edit,Blue (Da Ba Dee),spotify://track:7lMIJ4EFWRVoAIPDpeGyM3
108,Doe Maar,De Bom,Doe Maar - De Singles (Het Complete Singles Overzicht),spotify://track:3i2ZaFbGMZmerAEoVHvsmB
109,"C & C Music Factory, Freedom Williams",Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),Super Hits,spotify://track:7eheoW4hxrH51ww2QePVwF
110,The Mamas & The Papas,California Dreamin',All The Leaves Are Brown The Golden Era Collection,spotify://track:1ZEOIhSn6BKErV59bIgn76
111,Stealers Wheel,Stuck In The Middle With You,Stealers Wheel,spotify://track:3Vby4nGmtbDo7HDJamOWkT
112,"Rain Radio, DJ Craig Gorman",Talk About,Talk About,spotify://track:1olCzMxaeiQKNO64ssWVGr
113,PIKOTARO,PPAP (Pen-Pineapple-Apple-Pen),PPAP (Pen-Pineapple-Apple-Pen),spotify://track:3FDApkjYJWCr5Vu5RLbPsm
114,The Righteous Brothers,Unchained Melody,Just Once In My Life,spotify://track:2qhASBzpbFhPRtrnZ5lLnz
115,Harry Styles,Watermelon Sugar,Fine Line,spotify://track:6UelLqGlWMcVH1E5c4H7lY
116,Sonny & Cher,The Beat Goes On,Sonny & Cher's Greatest Hits,spotify://track:2tuWxZctCHB4ETgPE8rb34
117,Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,Put Your Hands Up For Detroit,spotify://track:2tyMOrVliF1wRnumVdcEwP
118,"Justin Bieber, Ludacris",Baby,My World 2.0,spotify://track:6epn3r7S14KUqlReYr77hA
119,Boney M.,Ma Baker,Love For Sale,spotify://track:1BqnZOkYJbvYLOhN0qPJDm
120,Redbone,We Were All Wounded at Wounded Knee,Already Here (Expanded Edition),spotify://track:3YUK2GVrHksgzgkYdYVnMf
